NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
GTF2IRD2	1	GTF2IRD2	
PLK2	1	PLK2	
MCAM	1	MCAM	
PLK1	1	PLK1	
CGN	1	CGN	
C3orf14	1	C3orf14	
ELL2	1	ELL2	
MCAT	1	MCAT	
ELL3	1	ELL3	
ZNF559-ZNF177	1	ZNF559-ZNF177	
GTF2IRD1	1	GTF2IRD1	
BPIFC	1	BPIFC	
RSPH10B	1	RSPH10B	
MOCS2	1	MOCS2	
MOCS3	1	MOCS3	
STON1	1	STON1	
STON2	1	STON2	
MCEE	1	MCEE	
ELOA	1	TCEB3	
ELOB	1	TCEB2	
ELOC	1	TCEB1	
RRP12	1	RRP12	
CIC	1	CIC	
RRP15	1	RRP15	
ZIK1	1	ZIK1	
EDARADD	1	EDARADD	
RPS6KL1	1	RPS6KL1	
EXOC8	1	EXOC8	
PLLP	1	PLLP	
EXOC7	1	EXOC7	
ECRG4	1	C2orf40	
CIT	1	CIT	
EXOC4	1	EXOC4	
PLIN4	1	PLIN4	
EXOC3	1	EXOC3	
PLIN3	1	PLIN3	
PLIN2	1	PLIN2	
EXOC6	1	EXOC6	
EXOC5	1	EXOC5	
PLIN1	1	PLIN1	
RCCD1	1	RCCD1	
MOCS1	1	MOCS1	
EXOC2	1	EXOC2	
EXOC1	1	EXOC1	
PLIN5	1	PLIN5	
NFIX	1	NFIX	
C1orf198	1	C1orf198	
PRUNE2	1	PRUNE2	
C1orf194	1	C1orf194	
PRUNE1	1	PRUNE	
METTL21A	1	METTL21A	
APOL5	1	APOL5	
APOL4	1	APOL4	
METTL21C	1	METTL21C	
APOL6	1	APOL6	
RASSF10	1	RASSF10	
RRP36	1	RRP36	
CKB	1	CKB	
PAIP2	1	PAIP2	
APOL1	1	APOL1	
ZIM2	1	ZIM2	
APOL3	1	APOL3	
PAIP1	1	PAIP1	
ZIM3	1	ZIM3	
APOL2	1	APOL2	
BCHE	1	BCHE	
HIPK4	1	HIPK4	
CKM	1	CKM	
MOCOS	1	MOCOS	
ELP1	1	IKBKAP	
RFLNB	1	FAM101B	
G0S2	1	G0S2	
ELP2	1	ELP2	
ELP3	1	ELP3	
ELP4	1	ELP4	
RRP1B	1	RRP1B	
HIPK1	1	HIPK1	
ELP5	1	ELP5	
ELP6	1	ELP6	
HIPK3	1	HIPK3	
HIPK2	1	HIPK2	
RFLNA	1	FAM101A	
NFIA	1	NFIA	
NFIB	1	NFIB	
NFIC	1	NFIC	
FOSB	1	FOSB	
CLC	1	CLC	
TMEM229A	1	TMEM229A	
TMEM229B	1	TMEM229B	
C1orf174	1	C1orf174	
LCLAT1	1	LCLAT1	
CLU	1	CLU	
THG1L	1	THG1L	
PODNL1	1	PODNL1	
CFL2	1	CFL2	
CFL1	1	CFL1	
OIP5	1	OIP5	
PLS1	1	PLS1	
KCMF1	1	KCMF1	
C1orf189	1	C1orf189	
COL27A1	1	COL27A1	
FKBPL	1	FKBPL	
C1orf185	1	C1orf185	
DIO1	1	DIO1	
DIO2	1	DIO2	
DIO3	1	DIO3	
FAM91A1	1	FAM91A1	
LEMD3	1	LEMD3	
LEMD2	1	LEMD2	
LEMD1	1	LEMD1	
TOM1L1	1	TOM1L1	
TOM1L2	1	TOM1L2	
MTNR1A	1	MTNR1A	
OBSCN	1	OBSCN	
MTNR1B	1	MTNR1B	
FKBP8	1	FKBP8	
FKBP7	1	FKBP7	
FKBP9	1	FKBP9	
FKBP4	1	FKBP4	
FKBP3	1	FKBP3	
FKBP6	1	FKBP6	
FKBP5	1	FKBP5	
C1orf158	1	C1orf158	
FKBP2	1	FKBP2	
CNP	1	CNP	
CD300LB	1	CD300LB	
CD300LD	1	CD300LD	
CD300LF	1	CD300LF	
CD300LG	1	CD300LG	
PLTP	1	PLTP	
MCL1	1	MCL1	
C1orf167	1	C1orf167	
C1orf162	1	C1orf162	
BCL9	1	BCL9	
UBOX5	1	UBOX5	
BCL6	1	BCL6	
CPD	1	CPD	
BCL3	1	BCL3	
BCL2	1	BCL2	
CPE	1	CPE	
PGPEP1L	1	PGPEP1L	
C1orf159	1	C1orf159	
OSCP1	1	OSCP1	
SLC48A1	1	SLC48A1	
CPM	1	CPM	
CPO	1	CPO	
MCM7	1	MCM7	
C1orf131	1	C1orf131	
CPQ	1	CPQ	
COL14A1	1	COL14A1	
ZC3H4	1	ZC3H4	
MCM8	1	MCM8	
MCM9	1	MCM9	
ZC3H3	1	ZC3H3	
ZC3H8	1	ZC3H8	
ZC3H6	1	ZC3H6	
CPZ	1	CPZ	
KBTBD13	1	KBTBD13	
KBTBD12	1	KBTBD12	
VPS72	1	VPS72	
CEP170B	1	CEP170B	
EVI5L	1	EVI5L	
OIT3	1	OIT3	
C1orf127	1	C1orf127	
C1orf146	1	C1orf146	
CR2	1	CR2	
CR1	1	CR1	
GGPS1	1	GGPS1	
SGIP1	1	SGIP1	
DIS3	1	DIS3	
C1orf141	1	C1orf141	
APOA2	1	APOA2	
APOA1	1	APOA1	
APOA4	1	APOA4	
APOA5	1	APOA5	
SAPCD2	1	SAPCD2	
SAPCD1	1	SAPCD1	
XCL2	1	XCL2	
MCM3	1	MCM3	
CRH	1	CRH	
ST20-MTHFS	1	ST20-MTHFS	
XCL1	1	XCL1	
MCM4	1	MCM4	
MCM5	1	MCM5	
MCM6	1	MCM6	
CRK	1	CRK	
MCM2	1	MCM2	
CRP	1	CRP	
HDAC4	1	HDAC4	
HDAC5	1	HDAC5	
CEBPA	1	CEBPA	
C1orf112	1	C1orf112	
HDAC2	1	HDAC2	
CEBPB	1	CEBPB	
HDAC3	1	HDAC3	
CEBPD	1	CEBPD	
HDAC1	1	HDAC1	
CEBPE	1	CEBPE	
VPS4B	1	VPS4B	
VPS4A	1	VPS4A	
CEBPG	1	CEBPG	
TULP4	1	TULP4	
CRX	1	CRX	
TULP3	1	TULP3	
TULP2	1	TULP2	
TULP1	1	TULP1	
HDAC9	1	HDAC9	
HDAC7	1	HDAC7	
STOX2	1	STOX2	
NFS1	1	NFS1	
HECTD1	1	HECTD1	
HECTD2	1	HECTD2	
VPS51	1	VPS51	
HECTD3	1	HECTD3	
VPS50	1	VPS50	
SVBP	1	SVBP	
